id,path
13323,7 8 80 17 21 22 12 9 10
11089,1 8 74 11 21 47 21 32 21 22 33 29 18 10
17078,1 8 39 60 17 47 21 47 21 22 18 19
16994,20 51 43 53 30 31 54 9 4
12449,7 8 28 32 33 34 22 61 19
17208,7 8 41 17 21 22 12 9 4
13322,7 8 80 17 21 22 12 9 4
16995,20 51 43 53 30 31 54 9 10
3982,1 8 39 37 32 33 22 12 40 9 10
23797,7 8 66 43 44 52 67 9 10
10457,1 8 66 39 11 12 18 10
4434,1 8 39 37 32 33 22 12 40 9 4
6230,1 8 50 39 11 12 19
14460,1 8 37 32 33 22 33 38 9 4
27038,1 8 53 30 31 57 18 9 4
26478,1 8 50 47 48 22 33 104 36 18 10
10863,1 8 53 30 31 57 18 9 10
15214,7 8 11 21 32 33 34 22 6 4
8282,7 8 11 12 18 44 75 42 9 4
6476,20 79 28 30 31 29 18 10
21734,7 8 11 12 44 69 42 9 10
14027,1 8 41 98 74 75 52 19
21735,7 8 11 12 44 69 42 9 4
3442,7 8 39 17 28 32 33 22 12 40 9 10
2311,7 8 11 12 18 44 75 42 9 10
25940,20 79 28 32 21 22 62
13289,1 8 116 21 22 18 10
630,7 8 50 32 33 34 33 31 54 40 9 10
188,1 8 39 40 49 9 4
5719,20 43 98 28 29 44 9 4
12410,1 8 11 12 18 44 9 10
187,1 8 39 40 49 9 10
16334,7 8 43 53 112 21 22 113 22 18 10
6098,20 43 41 11 32 21 47 21 22 18 10
24968,1 8 37 23 21 22 22 18 10
24344,1 8 28 32 33 22 61 76 19
10803,20 41 17 11 21 22 24 14 9 4
17283,7 8 39 107 30 31 36 40 9 10
6099,20 43 41 11 32 21 47 21 22 18 19
6891,7 8 28 103 104 104 29 9 4
17284,7 8 39 107 30 31 36 40 9 4
10804,20 41 17 11 21 22 24 14 9 10
23044,1 8 68 39 11 12 40 9 10
3531,7 8 17 51 11 21 22 78 9 4
5720,20 43 98 28 29 44 9 10
23045,1 8 68 39 11 12 40 9 4
6890,7 8 28 103 104 104 29 9 10
1353,7 8 50 32 33 34 33 31 54 40 9 4
19210,1 8 98 74 37 32 33 22 18 10
20772,7 8 11 32 21 22 33 38 67 40 9 4
